ELEMENT,PT FOOT-NOTE,COORD1,COORD2,COORD3
145,5,-33.94,11.06,2.792
145,6,-33.94,11.06,2.214
145,7,-31.06,11.06,2.793
145,8,-31.06,11.06,2.215
146,1,-33.94,13.94,1.791
146,2,-33.94,13.94,1.213
146,3,-31.06,13.94,1.792
146,4,-31.06,13.94,1.213
146,5,-33.94,11.06,1.791
146,6,-33.94,11.06,1.213
146,7,-31.06,11.06,1.792
146,8,-31.06,11.06,1.213
147,1,-33.94,13.94,0.7896
147,2,-33.94,13.94,0.2116
147,3,-31.06,13.94,0.7899
147,4,-31.06,13.94,0.2117
147,5,-33.94,11.06,0.7896
147,6,-33.94,11.06,0.2116
147,7,-31.06,11.06,0.7899
